,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,4,28,70,146,218,350,446,642,754,1022,3681
1,V2,10,32,86,142,250,332,502,602,842,952,3751
