,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.0775,0.0775,0.0775,"x, x, x",8 i,3,3
1,V2,4,0.167,0.167,0.167,"x, x, x",8 i,3,3
2,V3,4,0.305,0.1786,0.2365,"x, y, z",24 l,1,1
3,V4,3,0.4225,0.0775,0.2366,"x, y, z",24 l,1,1
