,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,12,44,108,190,312,444,624,806,1044,1276,4861
1,V2,4,32,88,172,274,418,570,772,974,1234,4539
