,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.3704,0.1168,0.1976,"x, y, z",8 f,1,1
1,V2,3,0.2124,0.3834,0.1336,"x, y, z",8 f,1,1
