,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,3,0.0955,0.3478,0.9136,"x, y, z",12 k,1,1
1,V2,3,0.1224,0.5612,0.8333,"2y, y, 5/6",6 j,2,2
