,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,12,12,66,42,192,92,354,162,612,252,1797
1,V2,6,6,54,36,168,86,360,156,576,246,1695
2,V3,3,24,20,106,60,253,119,455,198,721,1960
