,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.1844,0.5,0.5,"x, 1/2, 1/2",4 a,2
1,E2,0.0,0.3195,0.25,"0, y, 1/4",4 b,2
2,E3,0.25,0.25,0.7072,"x, y, z",8 c,1
3,E4,0.4344,0.25,0.5,"x, y, z",8 c,1
