,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.375,0.0,0.25,"3/8, 0, 1/4",24 d,-4,4
1,V2,6,0.125,0.125,0.125,"1/8, 1/8, 1/8",16 b,32,6
