,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,6,14,34,48,96,116,186,194,306,322,1323,4.4.4.4.6.6.6.6.6.6.6(2).6(2).10(2).10(2).*
1,V2,4,15,28,61,77,136,153,242,252,376,1345,.6.4.6.6(2).6(3)
2,V3,3,9,33,49,87,97,180,209,297,277,1242,6(2).6(2).6(2)
