,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0,0.5,0.0,"0, 1/2, 0",4 a,-1
1,E2,0.4286,0.25,0.25,"x, 1/4, z",4 c,m
2,E3,0.25,0.5,0.375,"x, y, z",8 d,1
