,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,5,0.0,0.0,0.3232,"0, 0, z",24 e,4mm,8
1,V2,5,0.0,0.0,0.4268,"0, 0, z",24 e,4mm,8
2,V3,4,0.0,0.0732,0.25,"0, y, z",96 j,m,2
3,V4,3,0.0,0.1768,0.25,"0, y, z",96 j,m,2
