,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.125,0.875,0.0,"x, 1-x, 0",12 i,2
1,E2,0.3333,0.0417,0.125,"x, y, z",24 l,1
2,E3,0.4166,0.2083,0.25,"2y, y, 1/4",6 h,mm2
3,E4,0.5417,0.0834,0.25,"x, 2x, 1/4",6 h,mm2
