,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,6,32,42,134,114,308,222,554,366,872,2651
1,V2,9,18,71,74,213,162,419,290,705,450,2412
2,V3,3,18,29,102,99,272,197,498,339,812,2370
