,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,12,12,88,54,300,128,636,230,1092,360,2913
1,V2,3,27,22,141,75,400,159,772,273,1282,3155
