,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,7,22,47,82,127,182,247,322,407,502,1946
1,V2,5,16,37,68,111,166,231,306,391,486,1818
