,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.0769,0.2872,0.0,"x, y, 0",12 p,m,2
1,V2,4,0.343,0.0,0.1441,"x, 0, z",12 n,m,2
2,V3,3,0.4334,0.0,0.3559,"x, 0, z",12 n,m,2
