,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,3,18,15,67,45,166,90,305,150,478,1338
1,V2,8,8,40,30,120,68,240,126,400,180,1221
