,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.1132,0.4763,0.0215,"x, y, z",36 i,1
1,E2,0.0145,0.5072,0.9227,"2y, y, z",18 h,m
2,E3,0.2881,0.1441,0.4442,"2y, y, z",18 n,m
3,E4,0.0761,0.1522,0.1787,"x, 2x, z",18 h,m
