,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,12,20,112,76,322,168,644,298,1076,464,3193
1,V2,4,36,38,182,108,438,216,804,360,1282,3469
2,V3,4,32,36,176,106,428,212,792,356,1266,3409
