,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.6242,0.2079,0.0829,"x, y, z",12 g,1
1,E2,0.4157,0.2079,0.3329,"x, y, z",12 g,1
2,E3,0.2915,0.9595,0.0,"x, y, z",12 g,1
3,E4,0.332,0.0,0.25,"x, 0, 1/4",6 f,2
