,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,3,6,12,19,30,50,67,82,111,141,522,4.6.12(6)
1,V2,4,8,10,20,40,46,60,94,118,130,531,6.6.12(4).12(4).12(5).12(5)
