,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,8,20,56,74,152,164,296,290,488,452,2001
1,V2,8,14,40,70,144,146,288,318,480,386,1895
2,V3,6,23,38,91,112,214,220,382,364,598,2049
