,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,6,18,37,79,107,158,228,278,355,463,1730,3.3.3.3.3.3.6.6.6.6.8.10(3).10(3).*.*
1,V2,6,18,36,68,120,154,218,294,348,452,1715,3.3.3.3.3.3.6.6.8.8.8.8.8.*.*
2,V3,6,17,37,73,110,161,221,278,361,457,1722,3.3.3.3.3.3.4.6.6(2).8(2).10.10(4).10(5).*.*
3,V4,6,17,39,71,113,159,222,281,359,455,1723,3.3.3.3.3.3.4.6.8.10.10(4).10(4).10(9).*.*
4,V5,6,16,38,71,111,160,221,277,362,455,1718,3.3.3.3.3.3.4.4.6(2).8(2).10(4).10(4).*.*.*
