,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.1362,0.75,0.0618,"x, 3/4, z",16 h,m
1,E2,0.0,0.6138,0.0618,"0, y, z",16 h,m
2,E3,0.1537,0.5963,0.0934,"x, y, z",32 i,1
3,E4,0.25,0.5839,0.0457,"x, y, z",32 i,1
4,E5,0.2675,0.4825,0.125,"x, 3/4-x, 1/8",16 g,2
5,E6,0.1961,0.25,0.2205,"x, 1/4, z",16 h,m
6,E7,0.25,0.1138,0.25,"1/4, y, /4",16 f,2
7,E8,0.5,0.1138,0.125,"1/2, y, z",16 h,m
