,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.2046,0.538,0.25,"x, y, 1/4",12 j,m,2
1,V2,4,0.1287,0.462,0.0435,"x, y, z",24 l,1,1
