,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,8,8,32,26,92,58,184,108,316,162,995
1,V2,6,6,30,23,84,60,192,101,300,168,971
2,V3,3,16,13,50,37,126,78,235,129,376,1064
