,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.2702,0.0719,0.9167,"x, y, z",36 i,1
1,E2,0.2702,0.1351,0.4167,"2y, y, 5/12",18 g,2
2,E3,0.2342,0.0,0.5,"x, 0, 1/2",18 g,2
3,E4,0.3333,0.1035,0.6667,"1/3, y, 2/3",18 f,2
4,E5,0.3333,0.1035,0.1667,"1/3, y, 1/6",18 g,2
