,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.046,0.2174,0.2826,"x, y, 1/2-y",96 k,m,2
1,V2,4,0.046,0.1111,0.1762,"x, y, z",192 l,1,1
2,V3,4,0.0992,0.1643,0.2294,"x, y, z",192 l,1,1
