,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,3,16,44,81,128,185,253,332,421,520,1984
1,V2,7,22,48,85,132,189,257,336,425,524,2026
