,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.2,0.3001,0.5,"x, y, z",12 i,1
1,E2,0.0666,0.2834,0.25,"x, y, 1/4",6 h,m
2,E3,0.2,0.4,0.5,"x, y, z",12 i,1
3,E4,0.5666,0.2834,0.25,"x, y, 1/4",6 h,m
