,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,7,10,13,16,21,30,43,68,89,302,3.16(2).4.8.4.8
1,V2,3,5,10,13,16,21,32,47,46,77,271,3.8(2).16(2)
2,V3,3,4,6,10,22,30,34,42,46,60,258,3.16(2).16(2)
3,V4,3,4,8,14,14,26,38,38,48,64,258,3.16(2).16(2)
