,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,6,16,32,55,87,139,207,262,328,399,1532
1,V2,7,17,35,55,92,148,211,265,313,416,1560
