,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,3,0.0,0.4376,0.4376,"0, y, y",12 i,mm2,4
1,V2,5,0.0,0.3493,0.3493,"0, y, y",12 i,mm2,4
2,V3,4,0.0624,0.2427,0.331,"x, y, z",48 n,1,1
3,V4,3,0.107,0.1953,0.4376,"x, y, z",48 n,1,1
