,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.0,0.0,0.0,"0, 0, 0",2 a,23,12
1,V2,4,0.2917,0.2917,0.2917,"x, x, x",8 e,3,3
2,V3,4,0.0,0.25,0.5,"0, 1/4, 1/2",6 c,-4,4
