,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,4,26,30,116,94,278,190,498,314,782,2333
1,V2,12,18,72,62,204,150,384,242,648,414,2207
2,V3,6,9,54,53,180,126,378,254,618,366,2045
