,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,5,0.0,0.081,0.419,"0, y, 1/2-y",96 h,2,2
1,V2,5,0.008,0.0702,0.508,"x, y, 1/2+x",96 g,m,2
2,V3,3,0.0,0.1654,0.3346,"0, y, 1/2-y",96 h,2,2
3,V4,3,0.3028,0.3028,0.3644,"x, x, z",96 g,m,2
