,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,6,24,56,102,170,252,344,492,614,774,2835
1,V2,8,24,62,108,170,260,362,484,634,792,2905
