,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.1786,0.6667,0.9375,"x, y, z",24 l,1,1
1,V2,4,0.5773,0.0,0.0625,"x, 0, z",12 k,m,2
