,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0,0.5,0.0,"0, 1/2, 0",4 c,mmm
1,E2,0.0,0.3877,0.0215,"9, y, z",16 n,m
2,E3,0.0,0.2703,0.196,"0, y, z",16 n,m
3,E4,0.1158,0.2634,0.2115,"x, y, z",32 o,1
4,E5,0.0301,0.2852,0.1604,"x, y, z",32 o,1
5,E6,0.214,0.214,0.227,"x, x, z",16 m,m
6,E7,0.2075,0.2925,0.25,"x, 1/2-x, 1/4",16 k,2
7,E8,0.0,0.3178,0.0839,"0, y, z",16 m,2
8,E9,0.0,0.3356,0.0,"0, y, 0",8 i,mm2
