,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,24,12,176,42,488,92,960,162,1592,252,3801
1,V2,3,60,22,286,61,670,120,1214,199,1918,4554
