,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,7,22,48,87,144,205,265,359,454,568,2160
1,V2,8,24,60,72,150,204,272,392,410,552,2145
