,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,4,13,30,73,100,167,193,310,348,490,1729
1,V2,4,8,32,66,116,106,212,310,404,318,1577
2,V3,8,24,48,42,104,200,272,186,360,552,1797
