,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.5,0.0,0.25,"1/2, 0, z",6 f,2
1,E2,0.3824,0.0,0.5,"x, 0, 1/2",6 h,2
2,E3,0.3824,0.0,0.0,"x, 0, 0",6 g,2
3,E4,0.4226,0.2113,0.1667,"2y, y, 1/6",6 j,2
