,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,12,24,42,64,92,127,168,213,264,1011,6(2).6(2).6(2).6(2).6(2).6(2)
1,V2,4,12,24,43,67,96,130,169,213,264,1023,6(2).6(2).6(2).6(2).6(2).6(2)
2,V3,4,12,25,43,66,96,129,169,214,264,1023,6(2).6(2).6(2).6(2).6(2).6(2)
