,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.3883,0.2081,0.0584,"x, y, z",8 j,1,1
1,V2,3,0.4542,0.5,0.318,"x, 1/2, z",4 i,m,2
