,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,24,24,72,36,240,158,432,164,720,408,2279
1,V2,6,6,72,60,198,92,426,244,696,273,2074
2,V3,3,30,27,122,76,298,160,550,262,858,2387
