,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,9,0.0,0.0,0.0,"0, 0, 0",3 a,32,6
1,V2,3,0.0,0.3997,0.0,"0, y, 0",9 d,2,2
