,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,5,0.0,0.25,0.1919,"0, 1/4, z",4 e,mm2,4
1,V2,3,0.0,0.75,0.0756,"0, 3/4, z",4 e,mm2,4
