,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.25,0.2055,0.1108,"1/4, y, z",4 k,m,2
1,V2,4,0.25,0.5,0.3892,"1/4, 1/2, z",2 f,mm2,4
