,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.291,0.291,0.1613,"x, x, z",8 r,m
1,E2,0.2045,0.5,0.1613,"x, 1/2, z",8 t,m
2,E3,0.2045,0.3776,0.0,"x, y, 0",8 p,m
3,E4,0.1023,0.3776,0.25,"x, y, z",16 u,1
4,E5,0.0,0.5,0.3387,"0, 1/2, z",4 i,mm2
5,E6,0.0,0.3776,0.5,"0, y, 1/2",4 m,mm2
