,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,3,0.2798,0.0,0.8208,"x, 0, z",8 i,m,2
1,V2,4,0.0,0.0,0.0,"0, 0, 0",2 a,-4m2,8
