,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.0984,0.0984,0.0,"x, x, 0",8 h,mm2,4
1,V2,4,0.1494,0.2886,0.0,"x, y, 0",16 l,m,2
