,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,4,22,31,108,98,274,200,506,334,804,2382
1,V2,8,16,64,66,200,152,400,274,672,428,2281
2,V3,8,14,60,64,192,152,400,270,664,428,2253
