,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,6,8,14,20,30,45,54,73,98,353,3.3.14(48).14(48).14(48).14(48)
1,V2,4,7,10,14,22,34,42,58,78,94,364,3.14(32).3.14(32).4.14(64)
