,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0,0.25,0.3176,"0, 1/4, z",8 e,2
1,E2,0.234,0.8038,0.375,"x, y, z",16 f,1
2,E3,0.25,0.25,0.25,"1/4, 1/4, 1/4",8 c,-1
