,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,3,4,6,10,16,22,28,32,36,42,200,3.12.12
1,V2,3,4,7,10,16,22,24,32,38,39,196,3.8.12
2,V3,3,5,8,13,16,20,27,29,34,43,199,4.8.12
3,V4,3,6,11,14,17,22,24,29,35,42,204,4.8.8(2)
4,V5,4,7,11,16,18,20,25,29,34,41,206,3.8.4.8.4.8
