,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0,0.5,0.0,"0, 1/2, z",8 c,2
1,E2,0.0451,0.25,0.125,"x, 1/4, 1/8",8 f,2
2,E3,0.0868,0.4132,0.25,"x, 1/2-x, 1/4",8 e,2
3,E4,0.0868,0.4132,0.75,"x, 1/2-x, 3/4",8 e,2
