,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.25,0.25,0.25,"1/4, 1/4, 1/4",4 e,2/m
1,E2,0.0,0.25,0.0581,"0, 1/4, z",4 e,mm2
2,E3,0.0,0.5,0.1337,"0, y, z",8 h,m
