,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.0,0.0,0.0,"0, 0, 0",2 a,2/m,4
1,V2,4,0.25,0.3333,0.25,"1/4, y, 1/4",4 g,2,2
