,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.3568,0.6432,0.0,"x, 1-x, 0",6 l,mm2
1,E2,0.2456,0.4912,0.0,"x, 2x, 0",6 l,mm2
2,E3,0.1697,0.3394,0.0711,"x, 2x, z",12 o,m
3,E4,0.1344,0.2689,0.0,"x, 2x, 0",6 l,mm2
4,E5,0.1079,0.2158,0.25,"x, 2x, z",12 o,m
5,E6,0.1221,0.1221,0.3578,"x, x, z",12 o,m
6,E7,0.0814,0.1628,0.5,"x, 2x, 1/2",6 m,mm2
