,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.0636,0.5,0.176,"x, 0, z",8 s,m,2
1,V2,4,0.0636,0.2691,0.176,"x, y, z",16 u,1,1
2,V3,4,0.0636,0.3845,0.324,"x, y, z",16 u,1,1
3,V4,4,0.0636,0.1536,0.324,"x, y, z",16 u,1,1
