,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,3,0.1667,0.1667,0.1667,"x, x, z",8 o,m,2
1,V2,4,0.0,0.0,0.0,"0, 0, 0",2 a,mmm,8
2,V3,4,0.0,0.5,0.25,"0, 1/2, 1/4",4 e,222,4
