,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,8,12,24,42,72,96,152,170,248,264,1089
1,V2,4,13,24,48,66,109,130,194,214,301,1104
2,V3,4,10,28,42,76,94,148,168,244,264,1079
