,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,10,16,66,58,178,128,346,226,570,352,1951
1,V2,5,30,33,114,89,254,173,450,285,702,2136
